trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
B20121216SUN_016200_A..N09R,03:36:00,03:36:00,A40N,29,,0,0,
B20121216SUN_004950_A..S74R,01:38:30,01:38:30,A40S,30,,0,0,
B20121216SUN_018200_A..N09R,03:56:00,03:56:00,A40N,29,,0,0,
B20121216SUN_006950_A..S74R,01:58:30,01:58:30,A40S,30,,0,0,
B20121216SUN_020200_A..N09R,04:16:00,04:16:00,A40N,29,,0,0,
B20121216SUN_008950_A..S74R,02:18:30,02:18:30,A40S,30,,0,0,
B20121216SUN_022200_A..N09R,04:36:00,04:36:00,A40N,29,,0,0,
B20121216SUN_010950_A..S74R,02:38:30,02:38:30,A40S,30,,0,0,
B20121216SUN_024200_A..N09R,04:56:00,04:56:00,A40N,29,,0,0,
B20121216SUN_012950_A..S74R,02:58:30,02:58:30,A40S,30,,0,0,
B20121216SUN_026200_A..N09R,05:16:00,05:16:00,A40N,29,,0,0,
B20121216SUN_014950_A..S74R,03:18:30,03:18:30,A40S,30,,0,0,
B20121216SUN_028200_A..N09R,05:36:00,05:36:00,A40N,29,,0,0,
B20121216SUN_016950_A..S74R,03:38:30,03:38:30,A40S,30,,0,0,
B20121216SUN_030200_A..N09R,05:56:00,05:56:00,A40N,29,,0,0,
B20121216SUN_018950_A..S74R,03:58:30,03:58:30,A40S,30,,0,0,
B20121216SUN_032200_A..N09R,06:16:00,06:16:00,A40N,29,,0,0,
B20121216SUN_020950_A..S74R,04:18:30,04:18:30,A40S,30,,0,0,
B20121216SUN_034100_A..N09R,06:35:00,06:35:00,A40N,29,,0,0,
B20121216SUN_022950_A..S74R,04:38:30,04:38:30,A40S,30,,0,0,
B20121216SUN_035600_A..N09R,06:50:00,06:50:00,A40N,29,,0,0,
B20121216SUN_024950_A..S74R,04:58:30,04:58:30,A40S,30,,0,0,
B20121216SUN_037100_A..N09R,07:05:00,07:05:00,A40N,29,,0,0,
B20121216SUN_040700_A..N04R,07:20:00,07:20:00,A40N,23,,0,0,
